**** check out ****
	
kids					playables
paratopic				arbitrarymetric
gorogoa					jason roberts
mini metro				dinosaur polo club
the zium museum				curated by michael berto 
magic wand				thecatamites
10 beautiful postcards			thecatamites
freeways				captain games
hylics					mason lindroth
hyperrogue				zeno rogue
fugl					kotoristudios


**** looking forward to ****

wilmots warehouse			richard hogg & ricky haggett
bernband				tom boogaart
untitled goose game			house house
small talk				pale room
hylics 2				mason lindroth


**** enjoyed *****

pikuniku				rémi forcadell, arnaud de bock, calum bowen & alan zucconi
mundo lixo				terri vellmann
miserable pocket man			vladimir storm


**** favourites ****

thirty flights of loving		blendo games
little party				turnfollow
tharsis					choice provisions
mountain				david oreilly
stephens sausage roll			increpare
triad					anna anthropy
frozen synapse				mode 7
defcon					introversion software
machinarium				amanita design			
kentucky route zero			cardboard computer
brogue					brian walker
space funeral				thecatamites
the beginners guide			everything unlimited ltd
beyond the pleasure principle		kristian kronstrand
orchids to dusk				pol clarissou
river bones 				turnfollow
the fabolous screech			jonas & verena kyratzes
game studies				pippin barr
a series of gunshots			pippin barr
pole riders				bennett foddy
berband					tom van den boogaart
vesper.5				michael brough
super crate box				vlambeer
murder dog iv: the trial of the...	thecatamites
zineth					arcane kids
golden eye 64				rare
achtung, die kurve!			filip oscadal & kamil dolezal
nidhogg					messhof
getting over it with bennett foddy	bennett foddy
road					ian maclarty
into the breach				subset games
the haunted island, a frog detective game	grace bruxner		
